date	impfstoff	region	dosen
2020-12-26	comirnaty	DE-BW	9750
2020-12-26	comirnaty	DE-BY	9750
2020-12-26	comirnaty	DE-BE	9750
2020-12-26	comirnaty	DE-BB	9750
2020-12-26	comirnaty	DE-HB	4875
2020-12-26	comirnaty	DE-HH	9750
2020-12-26	comirnaty	DE-HE	9750
2020-12-26	comirnaty	DE-MV	9750
2020-12-26	comirnaty	DE-NI	9750
2020-12-26	comirnaty	DE-NW	9750
2020-12-26	comirnaty	DE-RP	9750
2020-12-26	comirnaty	DE-SL	9750
2020-12-26	comirnaty	DE-SN	9750
2020-12-26	comirnaty	DE-ST	9750
2020-12-26	comirnaty	DE-SH	9750
2020-12-26	comirnaty	DE-TH	9750
2020-12-28	comirnaty	DE-BW	78000
2020-12-28	comirnaty	DE-BY	97500
2020-12-28	comirnaty	DE-BE	19500
2020-12-28	comirnaty	DE-BB	9750
2020-12-28	comirnaty	DE-HB	0
2020-12-28	comirnaty	DE-HH	4875
2020-12-28	comirnaty	DE-HE	39000
2020-12-28	comirnaty	DE-MV	4875
2020-12-28	comirnaty	DE-NI	53625
2020-12-28	comirnaty	DE-NW	131625
2020-12-28	comirnaty	DE-RP	24375
2020-12-28	comirnaty	DE-SL	0
2020-12-28	comirnaty	DE-SN	24375
2020-12-28	comirnaty	DE-ST	9750
2020-12-28	comirnaty	DE-SH	14625
2020-12-28	comirnaty	DE-TH	9750
2020-12-30	comirnaty	DE-BW	79950
2020-12-30	comirnaty	DE-BY	101400
2020-12-30	comirnaty	DE-BE	29250
2020-12-30	comirnaty	DE-BB	19500
2020-12-30	comirnaty	DE-HB	4875
2020-12-30	comirnaty	DE-HH	14625
2020-12-30	comirnaty	DE-HE	48750
2020-12-30	comirnaty	DE-MV	14625
2020-12-30	comirnaty	DE-NI	58500
2020-12-30	comirnaty	DE-NW	140400
2020-12-30	comirnaty	DE-RP	34125
2020-12-30	comirnaty	DE-SL	9750
2020-12-30	comirnaty	DE-SN	34125
2020-12-30	comirnaty	DE-ST	19500
2020-12-30	comirnaty	DE-SH	24375
2020-12-30	comirnaty	DE-TH	19500
2021-01-08	comirnaty	DE-BW	92625
2021-01-08	comirnaty	DE-BY	112125
2021-01-08	comirnaty	DE-BE	29250
2021-01-08	comirnaty	DE-BB	19500
2021-01-08	comirnaty	DE-HB	4875
2021-01-08	comirnaty	DE-HH	14625
2021-01-08	comirnaty	DE-HE	48750
2021-01-08	comirnaty	DE-MV	14625
2021-01-08	comirnaty	DE-NI	63375
2021-01-08	comirnaty	DE-NW	146250
2021-01-08	comirnaty	DE-RP	34125
2021-01-08	comirnaty	DE-SL	9750
2021-01-08	comirnaty	DE-SN	34125
2021-01-08	comirnaty	DE-ST	19500
2021-01-08	comirnaty	DE-SH	24375
2021-01-08	comirnaty	DE-TH	19500
2021-01-12	moderna	DE-BW	8400
2021-01-12	moderna	DE-BY	9600
2021-01-12	moderna	DE-BE	2400
2021-01-12	moderna	DE-BB	2400
2021-01-12	moderna	DE-HB	1200
2021-01-12	moderna	DE-HH	1200
2021-01-12	moderna	DE-HE	4800
2021-01-12	moderna	DE-MV	1200
2021-01-12	moderna	DE-NI	6000
2021-01-12	moderna	DE-NW	13200
2021-01-12	moderna	DE-RP	3600
2021-01-12	moderna	DE-SL	1200
2021-01-12	moderna	DE-SN	3600
2021-01-12	moderna	DE-ST	1200
2021-01-12	moderna	DE-SH	2400
2021-01-12	moderna	DE-TH	1200
2021-01-19	comirnaty	DE-BW	111150
2021-01-19	comirnaty	DE-BY	132210
2021-01-19	comirnaty	DE-BE	35100
2021-01-19	comirnaty	DE-BB	23400
2021-01-19	comirnaty	DE-HB	9360
2021-01-19	comirnaty	DE-HH	17550
2021-01-19	comirnaty	DE-HE	63180
2021-01-19	comirnaty	DE-MV	17550
2021-01-19	comirnaty	DE-NI	81900
2021-01-19	comirnaty	DE-NW	181350
2021-01-19	comirnaty	DE-RP	40950
2021-01-19	comirnaty	DE-SL	11700
2021-01-19	comirnaty	DE-SN	40950
2021-01-19	comirnaty	DE-ST	23400
2021-01-19	comirnaty	DE-SH	29250
2021-01-19	comirnaty	DE-TH	23400
2021-01-26	comirnaty	DE-BW	64350
2021-01-26	comirnaty	DE-BY	70200
2021-01-26	comirnaty	DE-BE	23400
2021-01-26	comirnaty	DE-BB	17550
2021-01-26	comirnaty	DE-HB	5850
2021-01-26	comirnaty	DE-HH	11700
2021-01-26	comirnaty	DE-HE	35100
2021-01-26	comirnaty	DE-MV	11700
2021-01-26	comirnaty	DE-NI	46800
2021-01-26	comirnaty	DE-NW	99450
2021-01-26	comirnaty	DE-RP	32760
2021-01-26	comirnaty	DE-SL	5850
2021-01-26	comirnaty	DE-SN	23400
2021-01-26	comirnaty	DE-ST	11700
2021-01-26	comirnaty	DE-SH	17550
2021-01-26	comirnaty	DE-TH	11700
2021-01-31	moderna	DE-BW	12000
2021-01-31	moderna	DE-BY	14400
2021-01-31	moderna	DE-BE	3600
2021-01-31	moderna	DE-BB	2400
2021-01-31	moderna	DE-HB	1200
2021-01-31	moderna	DE-HH	2400
2021-01-31	moderna	DE-HE	7200
2021-01-31	moderna	DE-MV	1200
2021-01-31	moderna	DE-NI	8400
2021-01-31	moderna	DE-NW	18000
2021-01-31	moderna	DE-RP	4800
2021-01-31	moderna	DE-SL	1200
2021-01-31	moderna	DE-SN	4800
2021-01-31	moderna	DE-ST	2400
2021-01-31	moderna	DE-SH	3600
2021-01-31	moderna	DE-TH	2400
2021-02-02	comirnaty	DE-BW	105300
2021-02-02	comirnaty	DE-BY	117000
2021-02-02	comirnaty	DE-BE	35100
2021-02-02	comirnaty	DE-BB	23400
2021-02-02	comirnaty	DE-HB	7020
2021-02-02	comirnaty	DE-HH	17550
2021-02-02	comirnaty	DE-HE	58500
2021-02-02	comirnaty	DE-MV	11700
2021-02-02	comirnaty	DE-NI	70200
2021-02-02	comirnaty	DE-NW	163800
2021-02-02	comirnaty	DE-RP	38610
2021-02-02	comirnaty	DE-SL	5850
2021-02-02	comirnaty	DE-SN	35100
2021-02-02	comirnaty	DE-ST	17550
2021-02-02	comirnaty	DE-SH	23400
2021-02-02	comirnaty	DE-TH	17550
2021-02-06	astra	DE-BW	48000
2021-02-06	astra	DE-BY	52800
2021-02-06	astra	DE-BE	14400
2021-02-06	astra	DE-BB	9600
2021-02-06	astra	DE-HB	2400
2021-02-06	astra	DE-HH	7200
2021-02-06	astra	DE-HE	26400
2021-02-06	astra	DE-MV	7200
2021-02-06	astra	DE-NI	33600
2021-02-06	astra	DE-NW	74400
2021-02-06	astra	DE-RP	16800
2021-02-06	astra	DE-SL	4800
2021-02-06	astra	DE-SN	16800
2021-02-06	astra	DE-ST	9600
2021-02-06	astra	DE-SH	12000
2021-02-06	astra	DE-TH	9600
2021-02-09	comirnaty	DE-BW	99450
2021-02-09	comirnaty	DE-BY	117000
2021-02-09	comirnaty	DE-BE	35100
2021-02-09	comirnaty	DE-BB	25740
2021-02-09	comirnaty	DE-HB	5850
2021-02-09	comirnaty	DE-HH	17550
2021-02-09	comirnaty	DE-HE	58500
2021-02-09	comirnaty	DE-MV	11700
2021-02-09	comirnaty	DE-NI	76050
2021-02-09	comirnaty	DE-NW	163800
2021-02-09	comirnaty	DE-RP	37440
2021-02-09	comirnaty	DE-SL	5850
2021-02-09	comirnaty	DE-SN	35100
2021-02-09	comirnaty	DE-ST	17550
2021-02-09	comirnaty	DE-SH	23400
2021-02-09	comirnaty	DE-TH	17550
2021-02-12	astra	DE-BW	52800
2021-02-12	astra	DE-BY	60000
2021-02-12	astra	DE-BE	16800
2021-02-12	astra	DE-BB	12000
